intake_date,intake_type,intake_subtype,ken_jurisdiction,ken_zip,outcome_type,animal_id,animal_type,primary_breed,secondary_breed,person_id,src_zip,src_jurisdiction,person_id,own_zip,own_jurisdiction,microchip,microchip_bin
00:00.0,STRAY,QUARANTINE,AUSTIN,78752,ADOPTION,A827600,CAT,DOMESTIC SH,NULL,P795571,78752,AUSTIN,P798274,78702,NULL,982126059830688,1
00:00.0,STRAY,FIELD,AUSTIN,78724,TRANSFER,A827642,DOG,CHIHUAHUA SH,MIX,P673994,78724,NULL,P520778,78676,NULL,982126059763490,1
00:00.0,STRAY,FIELD,AUSTIN,78724,TRANSFER,A827643,DOG,CHIHUAHUA SH,NULL,P673994,78724,NULL,P520778,78676,NULL,982126059760717,1
00:00.0,STRAY,OTC,AUSTIN,78758,TRANSFER,A827662,DOG,CHIHUAHUA SH,NULL,P647319,78758,NULL,P520778,78676,NULL,982126059760777,1
00:00.0,STRAY,OTC,AUSTIN,78758,TRANSFER,A827657,DOG,CHIHUAHUA SH,NULL,P795708,78758,NULL,P520778,78676,NULL,982126059765327,1
00:00.0,STRAY,OTC,AUSTIN,78758,TRANSFER,A827656,CAT,DOMESTIC SH,NULL,P688537,78727,NULL,P083529,78703,AUSTIN,982126059778347,1
00:00.0,STRAY,FIELD,TRAVIS,78617,ADOPTION,A827667,DOG,SIBERIAN HUSKY,NULL,P795710,78617,NULL,P797124,78723,NULL,981020025604306,1
00:00.0,STRAY,OTC,AUSTIN,78751,ADOPTION,A827414,DOG,PIT BULL,NULL,P496850,78722,NULL,P797134,78757,NULL,982126059845804,1
00:00.0,STRAY,FIELD,AUSTIN,78745,ADOPTION,A827574,DOG,BASENJI,AUST KELPIE,P795420,78745,NULL,P796700,78722,NULL,982126059761351,1
00:00.0,STRAY,OTC,MANOR,78653,ADOPTION,A827659,DOG,LABRADOR RETR,MIX,P795713,78721,NULL,P432075,78748,AUSTIN,981020029279548,1
00:00.0,STRAY,OTC,MANOR,78653,ADOPTION,A827660,DOG,LABRADOR RETR,GREAT PYRENEES,P795713,78721,NULL,P432075,78748,AUSTIN,981020029310400,1
00:00.0,STRAY,FIELD,TRAVIS,78617,TRANSFER,A827609,DOG,CAIRN TERRIER,POODLE MIN,P795300,78758,NULL,P226759,76708,NULL,982126059774824,1
00:00.0,STRAY,OTC,OUT OF JURIS,OUTSI JURIS,ADOPTION,A827616,DOG,GERM SHEPHERD,MIX,P795612,78748,NULL,P210811,78723,NULL,982091061645049,1
00:00.0,STRAY,FIELD,AUSTIN,78757,ADOPTION,A827608,DOG,PIT BULL,CHINESE SHARPEI,P070962,78752,AUSTIN,P761383,78759,NULL,982126059767210,1
00:00.0,STRAY,OTC,OUT OF JURIS,OUTSI JURIS,ADOPTION,A827617,DOG,GERM SHEPHERD,MIX,P795612,78748,NULL,P795848,NULL,NULL,982091061644453,1
00:00.0,STRAY,FIELD,AUSTIN,78753,RTO,A827619,DOG,POMERANIAN,NULL,P795611,78669,NULL,P107998,78753,NULL,985121007722156,1
00:00.0,STRAY,FIELD,AUSTIN,78741,ADOPTION,A827590,DOG,LABRADOR RETR,MIX,P791957,,NULL,P795906,78705,NULL,982000410188471,1
00:00.0,STRAY,OTC,AUSTIN,78747,TRANSFER,A792866,DOG,PIT BULL,MIX,P389954,78701,AUSTIN,P083529,78703,AUSTIN,982126052160699,1
00:00.0,STRAY,OTC,AUSTIN,78741,ADOPTION,A827584,DOG,POODLE MIN,NULL,P389954,78701,AUSTIN,P795529,78705,NULL,982126059783435,1
00:00.0,STRAY,FIELD,TRAVIS,78660,ADOPTION,A827576,DOG,AM PIT BULL TER,MIX,P795416,78660,NULL,P804896,78640,NULL,982091061646116,1
00:00.0,STRAY,OTC,AUSTIN,78758,TRANSFER,A827581,CAT,DOMESTIC SH,NULL,P795468,78758,NULL,P070962,78752,AUSTIN,982126059761098,1
00:00.0,STRAY,FIELD,AUSTIN,78704,ADOPTION,A554278,DOG,DACHSHUND,MIX,P568315,78704,NULL,P798243,78745,NULL,4B15762879,1
00:00.0,STRAY,FIELD,AUSTIN,78753,TRANSFER,A827570,DOG,CHIHUAHUA SH,NULL,P795399,78753,NULL,P226759,76708,NULL,982126059778287,1
00:00.0,STRAY,FIELD,AUSTIN,78753,TRANSFER,A827571,DOG,CHIHUAHUA SH,NULL,P795399,78753,NULL,P226759,76708,NULL,982091061646010,1
00:00.0,STRAY,EMERG CLC,AUSTIN,78704,ADOPTION,A827568,CAT,DOMESTIC SH,NULL,P795388,NULL,NULL,P797131,78660,NULL,982126059765974,1
00:00.0,STRAY,EMERG CLC,AUSTIN,78724,ADOPTION,A827567,DOG,POODLE MIN,NULL,P795386,NULL,NULL,P792300,NULL,NULL,982126059765321,1
00:00.0,STRAY,FIELD,AUSTIN,78704,RTO,A827548,DOG,PIT BULL,BOXER,P795353,,NULL,P580571,78613,NULL,982126059954828,1
00:00.0,STRAY,FIELD,AUSTIN,78754,RTO,A827553,DOG,ALASKAN HUSKY,NULL,P795355,78754,NULL,P795464,NULL,NULL,982126059777896,1
00:00.0,STRAY,FIELD,AUSTIN,78754,RTO,A827554,DOG,AUST CATTLE DOG,NULL,P795355,78754,NULL,P795464,NULL,NULL,982126059775140,1
00:00.0,STRAY,FIELD,AUSTIN,78702,ADOPTION,A827517,DOG,CHIHUAHUA SH,NULL,P795235,78702,NULL,P795706,78748,NULL,982126059773942,1
00:00.0,STRAY,FIELD,AUSTIN,78702,ADOPTION,A827510,DOG,AM PIT BULL TER,MIX,P795227,78702,NULL,P798992,78704,NULL,982126059773627,1
00:00.0,STRAY,FIELD,AUSTIN,78754,ADOPTION,A827506,DOG,QUEENSLAND HEEL,NULL,P310363,78754,TRAVIS,P795445,78754,NULL,982126059775386,1
00:00.0,STRAY,OTC,AUSTIN,78745,ADOPTION,A827524,DOG,LABRADOR RETR,NULL,P720259,78745,NULL,P800613,78704,NULL,982126059775113,1
00:00.0,STRAY,FIELD,AUSTIN,78703,ADOPTION,A827486,DOG,PIT BULL,MIX,P178656,78703,NULL,P804838,78704,NULL,982126059767269,1
00:00.0,STRAY,OTC,AUSTIN,78747,TRANSFER,A827523,DOG,BOXER,NULL,P774134,78725,TRAVIS,P083529,78703,AUSTIN,982126059765745,1
00:00.0,STRAY,FIELD,AUSTIN,78758,TRANSFER,A827498,DOG,CHIHUAHUA SH,NULL,P795058,78758,NULL,P070962,78752,AUSTIN,982126059774840,1
